city,station_id,contract_date,event_slug,market_slug,bucket_label,model_yes_probability,model_no_probability,provider_spread_high_f,confidence_gate_passed,is_open_tail,is_point_bucket,is_recommended_bucket,no_win,fees_enabled,fee_rate,fee_exponent,entry_timestamp,no_reference_price,price_age_seconds,no_fill_price,fee_per_share,no_entry_cost,no_edge,no_available,no_net_return,fold,selected_parameters,risk_usdc,fixed_4_pnl_usdc,sized_pnl_usdc
Tokyo,RJTT,2026-04-08,highest-temperature-in-tokyo-on-april-8-2026,highest-temperature-in-tokyo-on-april-8-2026-18c,18°C,0.014012715726107964,0.985987284273892,4.371620162695329,False,False,False,False,True,True,0.05,1.0,1775614500,0.615,25.0,0.625,0.01171875,0.63671875,0.34926853427389204,True,0.5705521472392638,2026-04,"{""bucket_scope"":""all"",""exclude_open_tail"":true,""max_no_price"":0.95,""max_provider_spread_f"":8.0,""max_yes_probability"":0.05,""min_no_edge"":0.15,""require_confidence_gate"":false}",6.0,2.2822085889570554,3.423312883435583
Tokyo,RJTT,2026-04-11,highest-temperature-in-tokyo-on-april-11-2026,highest-temperature-in-tokyo-on-april-11-2026-25c,25°C,0.028978166470165528,0.9710218335298345,5.810833180054658,False,False,False,False,False,True,0.05,1.0,1775873700,0.58,5.0,0.59,0.012095000000000002,0.6020949999999999,0.3689268335298346,True,-1.0,2026-04,"{""bucket_scope"":""all"",""exclude_open_tail"":true,""max_no_price"":0.95,""max_provider_spread_f"":8.0,""max_yes_probability"":0.05,""min_no_edge"":0.15,""require_confidence_gate"":false}",6.0,-4.0,-6.0
Tokyo,RJTT,2026-04-19,highest-temperature-in-tokyo-on-april-19-2026,highest-temperature-in-tokyo-on-april-19-2026-24c,24°C,0.02732782693674129,0.9726721730632587,5.550433127472701,False,False,False,False,True,True,0.05,1.0,1776564900,0.555,9.0,0.5650000000000001,0.012288750000000001,0.57728875,0.3953834230632587,True,0.7322353848052643,2026-04,"{""bucket_scope"":""all"",""exclude_open_tail"":true,""max_no_price"":0.95,""max_provider_spread_f"":8.0,""max_yes_probability"":0.05,""min_no_edge"":0.15,""require_confidence_gate"":false}",6.0,2.928941539221057,4.393412308831586
Tokyo,RJTT,2026-05-04,highest-temperature-in-tokyo-on-may-4-2026,highest-temperature-in-tokyo-on-may-4-2026-27c,27°C,0.23442821228503885,0.7655717877149611,6.949953882421951,True,False,False,False,True,True,0.05,1.0,1777860900,0.295,57.0,0.305,0.010598750000000002,0.31559875,0.44997303771496117,True,2.1685803571782207,2026-05,"{""bucket_scope"":""all"",""exclude_open_tail"":true,""max_no_price"":0.95,""max_provider_spread_f"":8.0,""max_yes_probability"":0.4,""min_no_edge"":0.15,""require_confidence_gate"":true}",6.0,8.674321428712883,13.011482143069324
Tokyo,RJTT,2026-05-10,highest-temperature-in-tokyo-on-may-10-2026,highest-temperature-in-tokyo-on-may-10-2026-23c,23°C,0.1657451438648312,0.8342548561351688,3.161975459765628,True,False,False,False,True,True,0.05,1.0,1778379300,0.465,55.0,0.47500000000000003,0.01246875,0.48746875,0.3467861061351688,True,1.051413552150779,2026-05,"{""bucket_scope"":""all"",""exclude_open_tail"":true,""max_no_price"":0.95,""max_provider_spread_f"":8.0,""max_yes_probability"":0.4,""min_no_edge"":0.15,""require_confidence_gate"":true}",6.0,4.205654208603116,6.308481312904674
Tokyo,RJTT,2026-05-24,highest-temperature-in-tokyo-on-may-24-2026,highest-temperature-in-tokyo-on-may-24-2026-22c,22°C,0.24353305308566764,0.7564669469143324,4.556556112500076,True,False,False,False,False,True,0.05,1.0,1779588900,0.49,56.0,0.5,0.0125,0.5125,0.2439669469143324,True,-1.0,2026-05,"{""bucket_scope"":""all"",""exclude_open_tail"":true,""max_no_price"":0.95,""max_provider_spread_f"":8.0,""max_yes_probability"":0.4,""min_no_edge"":0.15,""require_confidence_gate"":true}",6.0,-4.0,-6.0
Tokyo,RJTT,2026-05-29,highest-temperature-in-tokyo-on-may-29-2026,highest-temperature-in-tokyo-on-may-29-2026-30c,30°C,0.10033683573414974,0.8996631642658502,3.794596900312527,True,False,False,False,False,True,0.05,1.0,1780020900,0.51,57.0,0.52,0.01248,0.5324800000000001,0.3671831642658502,True,-1.0,2026-05,"{""bucket_scope"":""all"",""exclude_open_tail"":true,""max_no_price"":0.95,""max_provider_spread_f"":8.0,""max_yes_probability"":0.4,""min_no_edge"":0.15,""require_confidence_gate"":true}",6.0,-4.0,-6.0
Tokyo,RJTT,2026-06-04,highest-temperature-in-tokyo-on-june-4-2026,highest-temperature-in-tokyo-on-june-4-2026-23c,23°C,0.1627906514179291,0.8372093485820709,3.865324979882772,True,False,False,False,False,True,0.05,1.0,1780539300,0.325,57.0,0.335,0.011138750000000003,0.34613875000000005,0.4910705985820708,True,-1.0,2026-06,"{""bucket_scope"":""all"",""exclude_open_tail"":false,""max_no_price"":0.95,""max_provider_spread_f"":100.0,""max_yes_probability"":0.2,""min_no_edge"":0.2,""require_confidence_gate"":false}",6.0,-4.0,-6.0
Tokyo,RJTT,2026-06-15,highest-temperature-in-tokyo-on-june-15-2026,highest-temperature-in-tokyo-on-june-15-2026-22c,22°C,0.10838512232460774,0.8916148776753923,2.7383698828125915,True,False,False,False,False,True,0.05,1.0,1781489700,0.585,57.0,0.595,0.01204875,0.60704875,0.28456612767539224,True,-1.0,2026-06,"{""bucket_scope"":""all"",""exclude_open_tail"":false,""max_no_price"":0.95,""max_provider_spread_f"":100.0,""max_yes_probability"":0.2,""min_no_edge"":0.2,""require_confidence_gate"":false}",6.0,-4.0,-6.0
Tokyo,RJTT,2026-06-17,highest-temperature-in-tokyo-on-june-17-2026,highest-temperature-in-tokyo-on-june-17-2026-28c,28°C,0.13900799355353274,0.8609920064464672,5.48482118765638,True,False,False,False,False,True,0.05,1.0,1781662500,0.337,57.0,0.34700000000000003,0.011329550000000002,0.35832955000000005,0.5026624564464672,True,-1.0,2026-06,"{""bucket_scope"":""all"",""exclude_open_tail"":false,""max_no_price"":0.95,""max_provider_spread_f"":100.0,""max_yes_probability"":0.2,""min_no_edge"":0.2,""require_confidence_gate"":false}",6.0,-4.0,-6.0
